time_epoch,time,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,snow_cm,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv,condition_text,condition_icon,condition_code,date,open,high,low,close,volume
1749542400,2025-06-10 04:00:00,17.0,62.6,0,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}",5.8,9.4,78,ENE,1011.0,29.85,0.0,0.0,0.0,97,100,17.0,62.6,17.0,62.6,17.0,62.6,16.6,61.9,0,0,0,0,2.0,1.0,8.4,13.5,0.0,,,0,2025-06-10,271.9,272.72,271.68,272.72,125
1749546000,2025-06-10 05:00:00,17.2,63.0,0,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/night/248.png', 'code': 1135}",5.6,9.0,80,E,1011.0,29.85,0.0,0.0,0.0,98,100,17.2,63.0,17.2,63.0,17.2,63.0,16.6,61.9,0,0,0,0,2.0,1.0,8.1,13.1,0.0,,,0,2025-06-10,272.5,272.5,272.08,272.46,127
1749549600,2025-06-10 06:00:00,17.4,63.3,1,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/day/248.png', 'code': 1135}",5.6,9.0,72,ENE,1011.0,29.84,0.0,0.0,0.0,95,100,17.4,63.3,17.4,63.3,17.4,63.3,16.5,61.7,0,0,0,0,10.0,6.0,8.2,13.2,4.0,,,0,2025-06-10,272.44,275.1,272.4,275.0,5886
1749553200,2025-06-10 07:00:00,17.6,63.7,1,"{'text': 'Fog', 'icon': '//cdn.weatherapi.com/weather/64x64/day/248.png', 'code': 1135}",6.0,9.7,87,E,1011.0,29.84,0.0,0.0,0.0,93,100,17.6,63.7,17.6,63.7,17.6,63.7,16.5,61.6,0,0,0,0,10.0,6.0,8.8,14.2,4.0,,,0,2025-06-10,274.1,274.99,273.88,274.75,3300
1749556800,2025-06-10 08:00:00,18.1,64.5,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",5.8,9.4,75,ENE,1011.0,29.84,0.0,0.0,0.0,92,100,18.1,64.5,18.1,64.5,18.1,64.5,16.4,61.5,0,0,0,0,10.0,6.0,8.5,13.6,4.0,,,0,2025-06-10,274.99,275.0125,271.71,274.34,8272
1749560400,2025-06-10 09:00:00,18.5,65.2,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",1.3,2.2,22,NNE,1010.0,29.82,0.0,0.0,0.0,91,100,18.5,65.2,18.5,65.2,18.5,65.2,17.0,62.7,0,0,0,0,10.0,6.0,1.9,3.1,4.0,,,0,2025-06-10,274.08,277.0,272.56,275.37,677967
1749564000,2025-06-10 10:00:00,18.8,65.9,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",6.7,10.8,28,NNE,1009.0,29.8,0.0,0.0,0.0,91,100,18.8,65.9,18.8,65.9,18.8,65.9,17.4,63.3,0,0,0,0,10.0,6.0,9.5,15.3,4.0,,,0,2025-06-10,275.5,276.05,274.29,275.19,627196
1749567600,2025-06-10 11:00:00,19.5,67.0,1,"{'text': 'Overcast', 'icon': '//cdn.weatherapi.com/weather/64x64/day/122.png', 'code': 1009}",5.6,9.0,1,N,1009.0,29.79,0.0,0.0,0.0,91,100,19.5,67.0,19.5,67.0,19.5,67.0,17.7,63.8,0,0,0,0,7.0,4.0,7.9,12.7,4.0,,,0,2025-06-10,275.205,276.12,273.72,276.12,697367
1749571200,2025-06-10 12:00:00,20.0,68.0,1,"{'text': 'Heavy rain at times', 'icon': '//cdn.weatherapi.com/weather/64x64/day/305.png', 'code': 1192}",4.3,6.8,7,N,1008.0,29.76,1.4,0.06,0.0,91,93,20.0,68.0,20.0,68.0,20.0,68.0,18.6,65.5,1,100,0,0,7.0,4.0,6.0,9.7,5.0,,,0,2025-06-10,276.1,277.0,275.65,276.7775,453160
1749574800,2025-06-10 13:00:00,20.5,68.9,1,"{'text': 'Moderate or heavy rain shower', 'icon': '//cdn.weatherapi.com/weather/64x64/day/356.png', 'code': 1243}",1.3,2.2,267,W,1007.0,29.75,2.11,0.08,0.0,91,89,20.5,68.9,20.5,68.9,20.5,68.9,19.0,66.3,1,100,0,0,2.0,1.0,1.8,3.0,5.0,,,0,2025-06-10,276.76,277.47,275.42,275.7124,369178
